zip,city,state,country,timezone,latitude,longitude
00501,Holtsville,NY,"United States",America/New_York,40.922326,-72.637078
00544,Holtsville,NY,"United States",America/New_York,40.922326,-72.637078
01001,Agawam,MA,"United States",America/New_York,42.07061,-72.62029
01002,Amherst,MA,"United States",America/New_York,42.377651,-72.50323
01003,Amherst,MA,"United States",America/New_York,42.369562,-72.63599
01004,Amherst,MA,"United States",America/New_York,42.384494,-72.513183
01005,Barre,MA,"United States",America/New_York,42.412094,-72.10443
01007,Belchertown,MA,"United States",America/New_York,42.278424,-72.411
01008,Blandford,MA,"United States",America/New_York,42.174313,-72.94828
01009,Bondsville,MA,"United States",America/New_York,42.206092,-72.340486
01010,Brimfield,MA,"United States",America/New_York,42.126038,-72.20552
01011,Chester,MA,"United States",America/New_York,42.271442,-73.01958
01012,Chesterfield,MA,"United States",America/New_York,42.390836,-72.84356
01013,Chicopee,MA,"United States",America/New_York,42.161492,-72.60316
01014,Chicopee,MA,"United States",America/New_York,42.170731,-72.604842
01020,Chicopee,MA,"United States",America/New_York,42.175992,-72.57265
01021,Chicopee,MA,"United States",America/New_York,42.170731,-72.604842
01022,Chicopee,MA,"United States",America/New_York,42.196666,-72.55606
01026,Cummington,MA,"United States",America/New_York,42.465041,-72.91813
01027,Easthampton,MA,"United States",America/New_York,42.27279,-72.68677
01028,"East Longmeadow",MA,"United States",America/New_York,42.066795,-72.5102
01029,"East Otis",MA,"United States",America/New_York,42.175896,-73.04204
01030,"Feeding Hills",MA,"United States",America/New_York,42.070774,-72.67248
01031,Gilbertville,MA,"United States",America/New_York,42.33071,-72.18833
01032,Goshen,MA,"United States",America/New_York,42.45792,-72.81551
01033,Granby,MA,"United States",America/New_York,42.254563,-72.51831
01034,Granville,MA,"United States",America/New_York,42.086224,-72.94464
01035,Hadley,MA,"United States",America/New_York,42.35549,-72.5733
01036,Hampden,MA,"United States",America/New_York,42.064703,-72.41735
01037,Hardwick,MA,"United States",America/New_York,42.374202,-72.19524
01038,Hatfield,MA,"United States",America/New_York,42.375155,-72.60832
01039,Haydenville,MA,"United States",America/New_York,42.381475,-72.69259
01040,Holyoke,MA,"United States",America/New_York,42.201891,-72.6242
01041,Holyoke,MA,"United States",America/New_York,42.170731,-72.604842
01050,Huntington,MA,"United States",America/New_York,42.290209,-72.87942
01053,Leeds,MA,"United States",America/New_York,42.353105,-72.70206
01054,Leverett,MA,"United States",America/New_York,42.479839,-72.49879
01056,Ludlow,MA,"United States",America/New_York,42.174893,-72.47068
01057,Monson,MA,"United States",America/New_York,42.089269,-72.317
01059,"North Amherst",MA,"United States",America/New_York,42.369562,-72.63599
01060,Northampton,MA,"United States",America/New_York,42.324539,-72.63561
01061,Northampton,MA,"United States",America/New_York,42.369562,-72.63599
01062,Florence,MA,"United States",America/New_York,42.324232,-72.67915
01063,Northampton,MA,"United States",America/New_York,42.317939,-72.640234
01066,"North Hatfield",MA,"United States",America/New_York,42.406697,-72.633901
01068,Oakham,MA,"United States",America/New_York,42.349769,-72.04413
01069,Palmer,MA,"United States",America/New_York,42.176401,-72.32646
01070,Plainfield,MA,"United States",America/New_York,42.515853,-72.91661
01071,Russell,MA,"United States",America/New_York,42.165931,-72.85153
01072,Shutesbury,MA,"United States",America/New_York,42.486027,-72.42208
01073,Southampton,MA,"United States",America/New_York,42.223885,-72.72777
01074,"South Barre",MA,"United States",America/New_York,42.375998,-72.149388
01075,"South Hadley",MA,"United States",America/New_York,42.234891,-72.58243
01077,Southwick,MA,"United States",America/New_York,42.05283,-72.76966
01079,Thorndike,MA,"United States",America/New_York,42.192892,-72.329574
01080,"Three Rivers",MA,"United States",America/New_York,42.180563,-72.36518
01081,Wales,MA,"United States",America/New_York,42.058024,-72.22517
01082,Ware,MA,"United States",America/New_York,42.270611,-72.26067
01083,Warren,MA,"United States",America/New_York,42.20468,-72.20259
01084,"West Chesterfield",MA,"United States",America/New_York,42.379807,-72.89043
01085,Westfield,MA,"United States",America/New_York,42.133642,-72.75029
01086,Westfield,MA,"United States",America/New_York,42.173428,-72.847964
01088,"West Hatfield",MA,"United States",America/New_York,42.388831,-72.6321
01089,"West Springfield",MA,"United States",America/New_York,42.112793,-72.64066
01090,"West Springfield",MA,"United States",America/New_York,42.170731,-72.604842
01092,"West Warren",MA,"United States",America/New_York,42.210777,-72.23904
01093,Whately,MA,"United States",America/New_York,42.442673,-72.652511
01094,Wheelwright,MA,"United States",America/New_York,42.358201,-72.140846
01095,Wilbraham,MA,"United States",America/New_York,42.12531,-72.44057
01096,Williamsburg,MA,"United States",America/New_York,42.415236,-72.78271
01097,Woronoco,MA,"United States",America/New_York,42.161743,-72.845912
01098,Worthington,MA,"United States",America/New_York,42.399054,-72.93871
01101,Springfield,MA,"United States",America/New_York,42.170731,-72.604842
01102,Springfield,MA,"United States",America/New_York,42.170731,-72.604842
01103,Springfield,MA,"United States",America/New_York,42.103294,-72.59112
01104,Springfield,MA,"United States",America/New_York,42.130343,-72.57338
01105,Springfield,MA,"United States",America/New_York,42.096644,-72.5798
01106,Longmeadow,MA,"United States",America/New_York,42.050395,-72.5712
01107,Springfield,MA,"United States",America/New_York,42.120193,-72.6061
01108,Springfield,MA,"United States",America/New_York,42.084094,-72.55523
